20240424	22:25:37	b1e5ac50-8bbe-40f9-9bec-5baedec6f777	undefined: ESERVFAIL	querySrv	_mongodb._tcp.cluster0.j4vwb4o.mongodb.net
20240501	18:56:04	bde1e933-c572-4150-97ac-b9c1307095b7	undefined: undefined	undefined	undefined
20240501	19:45:00	4b2eeb41-c647-4d64-a38c-ca108ab86a29	undefined: undefined	undefined	undefined
20240511	02:55:47	6b5a1e82-96c4-4273-aae0-bceba0586609	undefined: undefined	undefined	undefined
20240514	02:27:07	4c59eb0b-f430-41e7-bfdf-85b7e579fdb7	undefined: undefined	undefined	undefined
20240514	02:31:54	605d47ab-f727-4e2a-a9ae-e0a2a14d6be1	undefined: undefined	undefined	undefined
20240514	02:33:44	88efa101-478f-4558-80f6-434e718968bf	undefined: undefined	undefined	undefined
20240514	05:08:28	2b05ab69-0bca-408d-895c-0676d31189b1	undefined: 8000	undefined	undefined
20240514	05:13:48	b83de739-3969-497a-a31b-d5347a0de68c	undefined: 8000	undefined	undefined
20240514	05:20:38	12667976-cdae-4229-aeb3-0d64a7cab49d	undefined: 8000	undefined	undefined
20240517	01:59:12	e8f502fb-846b-42c5-aa24-6b5bd36973be	undefined: undefined	undefined	undefined
20240517	02:01:37	1143c9f5-03d2-48e1-8a27-7c090b979ea5	undefined: undefined	undefined	undefined
20240517	02:03:23	75cb17e3-13fa-4786-a02a-5acd16bbd8d9	undefined: undefined	undefined	undefined
20240518	01:06:28	cc988f0b-4d12-4252-b15a-80a4da10d292	undefined: undefined	undefined	undefined
20240523	02:12:52	4ea5eb7c-75e1-4b5b-8b38-c52cb336a9b5	undefined: ETIMEOUT	querySrv	_mongodb._tcp.cluster0.twrtyeh.mongodb.net
20240523	02:14:43	df4918fb-a5a9-4f91-9ba0-433a564f0406	undefined: undefined	undefined	undefined
20240523	02:16:05	7e2b630c-e05b-405f-8002-6b909a08df95	undefined: undefined	undefined	undefined
20240524	01:22:58	47de2b37-2966-4d60-b6aa-a85ee1239f32	undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.twrtyeh.mongodb.net
20240601	02:51:41	6291ea0a-8e60-4b5b-8c7b-388a10575b5e	undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.twrtyeh.mongodb.net
20240609	13:45:59	f1014b1f-7c87-4fb0-a941-821c8641a878	undefined: undefined	undefined	undefined
20240914	15:12:50	214bf3f9-c8ba-449e-8533-fdc222d4f011	undefined: undefined	undefined	undefined
20240914	15:26:04	12c1bf23-c66a-4bdc-b6d1-99d2ddc32104	undefined: undefined	undefined	undefined
20240914	15:26:09	8ba85eb2-8ddc-45bd-8dbe-4e1cb2cf9434	undefined: undefined	undefined	undefined
20240914	15:26:12	9d6dd4f7-86be-4db7-ae0c-8eede02eb602	undefined: 8000	undefined	undefined
20240914	15:26:28	5bddf7d9-de69-4231-adbc-1a13b3cb2216	undefined: undefined	undefined	undefined
